percentage,feat_del,iteration,SAA,Feature Driven,Feature Driven-L1,BASE-retrain,CVAR,FDRR_affine0,FDRR_affine1,FDRR_affine2,FDRR_affine3,FDRR_affine4,FDRR_affine5,FDRR_reform0,FDRR_reform1,FDRR_reform2,FDRR_reform3,FDRR_reform4,FDRR_reform5
1.0,5,9,2.7150573193067427,3.6514104717937217,5.521482627148146,2.6985353269695755,3.6514104717937217,3.0233290641507224,3.050759941869641,3.0444374348894914,3.06860940746166,3.0433618437427654,2.6844922394388706,3.0233290641507224,3.0239088499924716,3.0234902034841062,2.967682602756833,2.6625045827200644,2.68449223943887
0.5,5,9,2.7150573193067427,2.3117543795104623,3.1623415459530078,1.8012349650868995,2.3414586844640577,1.9820637219105615,2.0681516878276383,2.202521231583289,2.330373057187607,2.3991145022285028,2.6844922394388706,1.9820637219105615,2.0379964914079296,2.1781824624092705,2.330575572957925,2.650055305763864,2.68449223943887
0.25,5,9,2.7150573193067427,1.480320248824565,2.0220292247816642,1.2509239863371127,1.5271325442735755,1.3210579603472303,1.4531316947007658,1.6790446963384482,1.8717676193702497,1.9965846237807934,2.6844922394388706,1.3210579603472303,1.4106305113536028,1.6541217967477675,1.9750725405494711,2.6529914292696404,2.68449223943887
0.1,5,9,2.7150573193067427,1.121622876811845,1.4998745875988249,0.989893761892192,1.1691635431421596,1.040506744797497,1.1888945940436753,1.4573288860409743,1.6786522331208937,1.8295967656774454,2.6844922394388706,1.040506744797497,1.1433013903907627,1.4260379428063634,1.788859851173757,2.6410954733952203,2.68449223943887
0.05,5,9,2.7150573193067427,0.9101345222867664,1.3161775776908886,0.8797025823877459,0.9615413374532658,0.8838245460653557,1.038899732329342,1.328941956673191,1.5664976268831825,1.7319232817681656,2.6844922394388706,0.8838245460653557,0.99169217547072,1.3015925625977598,1.7004658641804107,2.6493680060142424,2.68449223943887
0.0,5,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
1.0,4,9,2.7150573193067427,3.6514104717937217,5.521482627148146,1.2938482827175273,3.6514104717937217,2.8229295011470525,2.6094175123542915,2.678653915612772,2.753131409869268,2.7691160133009696,2.6844922394388706,2.8229295011470525,2.476537929084631,2.3273333970790424,2.079735388087348,2.6595321406689045,2.68449223943887
0.5,4,9,2.7150573193067427,2.241483515057136,3.374753411045651,1.0098173137331177,2.2550372324376546,1.8381795273750448,1.7858458032968532,1.9642893244038302,2.1220401845834007,2.216662489575407,2.6844922394388706,1.8381795273750448,1.7375631317541296,1.8452503784892127,1.9229815175462437,2.6571906044242053,2.68449223943887
0.25,4,9,2.7150573193067427,1.500740744673534,2.085345965126696,0.8664377348556398,1.5386515985777782,1.2479256468970192,1.3308276728888833,1.5783252448192775,1.7881983913045838,1.9257791254873937,2.6844922394388706,1.2479256468970192,1.2891885261052,1.5248467417187692,1.7888317585403728,2.648355172306832,2.68449223943887
0.1,4,9,2.7150573193067427,1.0834036352133292,1.496673698708438,0.8884507682721031,1.1278811494307508,0.9961372084138637,1.1286909464026116,1.4035803712758637,1.631034044296651,1.7882050383879342,2.6844922394388706,0.9961372084138637,1.0838326668959715,1.3636426028416102,1.7252293419597617,2.6496945676370216,2.68449223943887
0.05,4,9,2.7150573193067427,0.9462564928142616,1.1724845408356794,0.8062409300611624,1.001118753183052,0.8975800351349615,1.0364294991677971,1.3258288265452174,1.563983179596846,1.7294362812851505,2.6844922394388706,0.8975800351349615,0.9804013431748146,1.2854713846387333,1.6752837305677264,2.646822517238255,2.68449223943887
0.0,4,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
1.0,3,9,2.7150573193067427,3.6514104717937217,5.521482627148146,0.865371101262345,3.6514104717937217,2.3576759854086755,2.1406443696505164,2.288638998829538,2.4160383282833955,2.479192073094704,2.6844922394388706,2.3576759854086755,1.9048677793033604,1.620695601789805,1.303731762937975,2.6545696079283783,2.68449223943887
0.5,3,9,2.7150573193067427,2.3403174498059958,3.069054302189871,0.8331138772177105,2.363322259358699,1.6468586223336652,1.6127203123649283,1.8304598898256335,2.010149906800176,2.1164524285863715,2.6844922394388706,1.6468586223336652,1.4833656748948745,1.5073586549664617,1.6017157310234675,2.6508694075321024,2.68449223943887
0.25,3,9,2.7150573193067427,1.4703843328421962,2.1340718152508726,0.7965446837753977,1.5217281204558235,1.1455804653900854,1.233909501431542,1.4970826039409257,1.7134420586696744,1.8600509726096186,2.6844922394388706,1.1455804653900854,1.1307227773395625,1.3015313878240469,1.5641722616993678,2.6506019089312645,2.68449223943887
0.1,3,9,2.7150573193067427,1.1372602199785833,1.4483412194037077,0.8037098596857896,1.1833041271847768,0.9688914474213254,1.09486464191879,1.375095308398223,1.607570294270872,1.7691451540226577,2.6844922394388706,0.9688914474213254,1.0287220159019588,1.2841324190356345,1.6244266267982521,2.6476009652731567,2.68449223943887
0.05,3,9,2.7150573193067427,0.9478484202621174,1.2843954557461155,0.7892258072573176,0.9978387893455247,0.8645716458152168,1.0125326293841335,1.3053013833421483,1.5457656002386941,1.7126708626928413,2.6844922394388706,0.8645716458152168,0.956866692784805,1.2473055278917744,1.6308274593322285,2.6458103365511856,2.68449223943887
0.0,3,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
1.0,2,9,2.7150573193067427,3.6514104717937217,5.521482627148146,0.833907654453893,3.703602223324514,1.925318021204238,1.7441662349819185,1.9532783946445815,2.1233264227580793,2.2239100849173212,2.6844922394388706,1.925318021204238,1.438120251091571,1.134960110548395,1.1154742079955458,2.652980361515306,2.68449223943887
0.5,2,9,2.7150573193067427,2.3686708899296463,3.097967725611769,0.7966860948774402,2.365745874424143,1.311588315700376,1.3608448200447243,1.617325663431792,1.8249299216474313,1.9592171310743929,2.6844922394388706,1.311588315700376,1.1497911946548018,1.1563692232124279,1.359088121169844,2.6469598559187824,2.68449223943887
0.25,2,9,2.7150573193067427,1.5206534351214447,2.052819932202294,0.798985733406216,1.5430021347497176,1.0848950606539276,1.123081043198552,1.4063237835921576,1.6385241799638346,1.7950842776575244,2.6844922394388706,1.0848950606539276,1.0217741013123758,1.1863371204632942,1.5020360447591896,2.644697437636053,2.68449223943887
0.1,2,9,2.7150573193067427,1.0470325357654657,1.5722487034235526,0.7949892607904855,1.1975479469037373,0.871675112721187,1.0175811874197147,1.3124699963747857,1.5539906575666327,1.7216758584061596,2.6844922394388706,0.871675112721187,0.945124207860144,1.1988062958025163,1.5744328202474147,2.647834530843922,2.68449223943887
0.05,2,9,2.7150573193067427,0.9723002325746541,1.2610908891344332,0.7854977784203963,1.046750652547112,0.8784579974211636,0.9908401364969854,1.2866700226775092,1.529366057555453,1.6992649705889007,2.6844922394388706,0.8784579974211636,0.931798426429867,1.215297421523975,1.6141111300206357,2.644748550384515,2.68449223943887
0.0,2,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
1.0,1,9,2.7150573193067427,3.6514104717937217,5.4832011328030505,0.7986460117684785,3.9942477384386152,1.413647091238097,1.3060962875949886,1.575586250897967,1.791425934111213,1.9334274709312211,2.6844922394388706,1.413647091238097,1.0131089901648775,0.9999190630652623,1.312492137383938,2.6487737938108116,2.68449223943887
0.5,1,9,2.7150573193067427,2.2787001514116567,3.337925020689752,0.7944063798460683,2.5095944963523342,1.1287355070668843,1.1408855516451002,1.424985904786818,1.6536966176651833,1.8095778508000364,2.6844922394388706,1.1287355070668843,0.966014414031661,1.1115895559766111,1.4835693250029187,2.647051921036645,2.68449223943887
0.25,1,9,2.7150573193067427,1.4546533684640328,2.3018641412183047,0.7921554955244515,1.658112947265463,0.9454030363631294,1.024655454118485,1.3239459563058698,1.56509088495004,1.7303923277629205,2.6844922394388706,0.9454030363631294,0.9233157654174448,1.1628465159061463,1.543081679923303,2.648498939069844,2.68449223943887
0.1,1,9,2.7150573193067427,1.0628293456713034,1.480211378755292,0.7870851889902446,1.1607572974683906,0.8385851447184294,0.9786054630490731,1.2773986718908055,1.5222235653627656,1.693293777880856,2.6844922394388706,0.8385851447184294,0.8955482529846567,1.1656837420974469,1.5961353592862377,2.64767640520337,2.68449223943887
0.05,1,9,2.7150573193067427,0.8881257962481919,1.3015597546890547,0.7870609878081976,0.932055563571471,0.7946820692575804,0.9581746536881995,1.259298347000685,1.5052048627600547,1.6778009074763554,2.6844922394388706,0.7946820692575804,0.8940377726230729,1.2053001546634006,1.6194249631916355,2.647683542625797,2.68449223943887
0.0,1,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
1.0,0,9,2.7150573193067427,0.7789055105828545,1.0282877407805513,0.785452108815914,0.8344680524300301,0.7789055105828545,0.9416847144196053,1.244252822764418,1.4919334038388157,1.666436563124307,2.6844922394388706,0.7789055105828545,0.8914881888270569,1.2132768418936413,1.6387388035641444,2.6470441338238992,2.68449223943887
