,0.0,1.999,8.737,16.655,49.289,66.415
Persistence,0.223,0.236,0.271,0.332,0.515,0.629
RF,0.204,0.214,0.252,0.32,0.596,0.755
Feature-Driven,0.204,0.22,0.27,0.348,0.594,0.74
Feature-Driven-L1,0.204,0.22,0.27,0.348,0.594,0.74
FDRR-R,0.204,0.224,0.275,0.293,0.321,0.349
