,0.0,2.327,8.587,15.783,49.812,67.018
Persistence,0.223,0.236,0.276,0.339,0.509,0.625
RF,0.211,0.233,0.279,0.339,0.582,0.74
Feature-Driven,0.21,0.234,0.282,0.34,0.582,0.733
Feature-Driven-L1,0.21,0.234,0.282,0.34,0.582,0.733
FDRR-R,0.21,0.223,0.254,0.277,0.366,0.436
FDRR-A,0.21,0.238,0.323,0.385,0.901,1.344
