,percentage missing,iteration,Persistence,FD50,Feature-Driven,Feature-Driven-L1,RF,FDRR-R,FDRR-A
0,65.229,4,0.6036855573773269,0.7640706275281103,0.7637628314316169,0.7637628314316169,0.7673385299318238,0.4624337729194032,0.8874390691161788
0,65.229,3,0.6501931942747524,0.7473241878936927,0.7472627126286792,0.7472627126286792,0.7212766525325299,0.39594041526658874,0.8493357621325094
0,65.229,2,0.6123442076900488,0.7125432474823169,0.7122936295542363,0.7122936295542363,0.7194034372797111,0.42519640225669914,0.8760262169950463
0,65.229,1,0.5338647650168361,0.7124195205992927,0.7121107429246165,0.7121107429246165,0.72578038618649,0.4480841377875764,0.8799806600615816
0,65.229,0,0.6182527328978452,0.7333929363428855,0.733098981842262,0.733098981842262,0.735505639041667,0.46121448186843844,0.8867459367169891
0,51.715,4,0.44933850436974665,0.5769243177187227,0.5768567572012845,0.5768567572012845,0.5726268067871155,0.33496026869971096,0.6769778472897375
0,51.715,3,0.5984763587473874,0.5749751823769766,0.5750971603467168,0.5750971603467168,0.5601165127642416,0.31182959695715423,0.7150718200703111
0,51.715,2,0.6555964350875204,0.6221998916262856,0.622243599691019,0.622243599691019,0.5946857069779128,0.319290423107555,0.7009737877040517
0,51.715,1,0.5043558508134465,0.6072344039828826,0.6074209532256591,0.6074209532256591,0.6042875555611896,0.33163350746529907,0.7401429334978665
0,51.715,0,0.48834158195883204,0.6147898699095901,0.6147349392188465,0.6147349392188465,0.621701497317466,0.3572134895721795,0.7453901872534954
0,16.479,4,0.3622649370191986,0.3573334896692735,0.35744412927448704,0.35744412927448704,0.33429065905762034,0.2558633606746991,0.3760755238116509
0,16.479,3,0.35990747109825605,0.37312573224443824,0.37321076820805,0.37321076820805,0.34911161408744523,0.2577125076878382,0.3685303987684098
0,16.479,2,0.3469983246938938,0.33706300829299785,0.3372772787943831,0.3372772787943831,0.31912677607494366,0.2579893150629136,0.371470911189815
0,16.479,1,0.3043203014874325,0.32863868131161705,0.32876100193122776,0.32876100193122776,0.3166322272519167,0.24427608380426447,0.34265706959868636
0,16.479,0,0.30505129741898596,0.3262080525875779,0.32622271364852795,0.32622271364852795,0.31883519064722493,0.24482690068337515,0.3381247893249517
0,8.505,4,0.2580169473360272,0.26522435124375626,0.26522750630614345,0.26522750630614345,0.27290112254616117,0.23566702072028148,0.27380936964090286
0,8.505,3,0.2816562438494311,0.2982818548949126,0.29833458598266277,0.29833458598266277,0.29138138417170206,0.23597094166080312,0.30523636922517494
0,8.505,2,0.27720297371439767,0.2842908399384451,0.2843813287429664,0.2843813287429664,0.28696656591890274,0.24550359953064704,0.30743266853364304
0,8.505,1,0.3041858708453789,0.2792385815348052,0.27929992926986674,0.27929992926986674,0.2786290966895343,0.24046790545140304,0.2866430402719193
0,8.505,0,0.2566000702107895,0.27884885488652594,0.27890233341721354,0.27890233341721354,0.275220155672591,0.23598977725919157,0.2842804809292985
0,2.725,4,0.22401805334039318,0.22067371012509165,0.22067889814217415,0.22067889814217415,0.23066860360896488,0.21972406448474804,0.23494266969374197
0,2.725,3,0.23376811735947423,0.22584951596728048,0.22583018486090714,0.22583018486090714,0.2368614610614766,0.22022607799936322,0.22978769145633887
0,2.725,2,0.2325919948891883,0.2255827263046341,0.2255765172220707,0.2255765172220707,0.23864197509430868,0.2191265014399852,0.23171843939273984
0,2.725,1,0.22844793740293873,0.22040141048640108,0.22032094450852113,0.22032094450852113,0.23232282344289407,0.22151863487457954,0.22828715960297458
0,2.725,0,0.23324719866474267,0.22714296811774926,0.22716285414144705,0.22716285414144705,0.23656107558904527,0.2223930552118907,0.24859183896005552
0,0.0,4,0.22253754183098898,0.2157468272488897,0.21571977736206524,0.21571977736206524,0.22774672846102745,0.21571977736206524,0.21571977736206524
0,0.0,3,0.22253754183098898,0.2157468272488897,0.21571977736206524,0.21571977736206524,0.22774672846102745,0.21571977736206524,0.21571977736206524
0,0.0,2,0.22253754183098898,0.2157468272488897,0.21571977736206524,0.21571977736206524,0.22774672846102745,0.21571977736206524,0.21571977736206524
0,0.0,1,0.22253754183098898,0.2157468272488897,0.21571977736206524,0.21571977736206524,0.22774672846102745,0.21571977736206524,0.21571977736206524
0,0.0,0,0.22253754183098898,0.2157468272488897,0.21571977736206524,0.21571977736206524,0.22774672846102745,0.21571977736206524,0.21571977736206524
