,percentage missing,iteration,Persistence,FD50,Feature-Driven,Feature-Driven-L1,RF,FDRR-R
0,66.064,4,0.6068626045847803,0.7436683332199718,0.7436683332199718,0.7436680744445728,0.7613676999196032,0.3458341950367899
0,66.064,3,0.5969841252089364,0.7441180765837866,0.7441180765837866,0.7441179640231862,0.75740700804309,0.3516563424078256
0,66.064,2,0.5648132570713461,0.716238297843465,0.716238297843465,0.7162383461505614,0.7412585772888658,0.34909716047659467
0,66.064,1,0.7173075452358424,0.734920277232104,0.734920277232104,0.7349197122278053,0.7419414479142402,0.3521644213653789
0,66.064,0,0.5978296833605898,0.7349699552915443,0.7349699552915443,0.7349686772347098,0.7462122115930468,0.351671781845706
0,50.248,4,0.5018647509077789,0.6036456053977916,0.6036456053977916,0.6036442351979342,0.6008138621021668,0.3230105584359926
0,50.248,3,0.4991340737889799,0.5924919639940224,0.5924919639940224,0.592489894388897,0.588162914074866,0.3161162840164977
0,50.248,2,0.5243996265940041,0.5903506268967716,0.5903506268967716,0.5903490908854945,0.5867772853966052,0.31196097429948616
0,50.248,1,0.5509203043424794,0.6231312323906798,0.6231312323906798,0.6231293571273937,0.6035875101517848,0.3204939776160385
0,50.248,0,0.5244369571649932,0.5976533033302094,0.5976533033302094,0.5976526269824889,0.5870765231867482,0.3174022891320256
0,15.347,4,0.3363837262389485,0.36415178208705995,0.36415178208705995,0.3641511882734666,0.3320846157039112,0.29852399425475945
0,15.347,3,0.29576069281010153,0.32608685893705364,0.32608685893705364,0.32608590067378485,0.3042698753180535,0.2872711537941493
0,15.347,2,0.28586795531340436,0.3260093154267977,0.3260093154267977,0.3260085075163784,0.3029129872980455,0.28779686242725666
0,15.347,1,0.3789820843947234,0.3497356607039523,0.3497356607039523,0.3497355511251485,0.31183810025584624,0.2911164817860654
0,15.347,0,0.2953534953785211,0.31956016038588336,0.31956016038588336,0.31955932722334723,0.2967081332621477,0.29415419898379375
0,9.143,4,0.275079581234807,0.27051693304209723,0.27051693304209723,0.27051568183219615,0.25488159272151223,0.2778649372928984
0,9.143,3,0.25139403085043316,0.24772138293116547,0.24772138293116547,0.24772097088994224,0.23753440000366918,0.27028013166074194
0,9.143,2,0.26359200430265656,0.256702896239129,0.256702896239129,0.2567024128355571,0.24141743745844343,0.2606787302057451
0,9.143,1,0.2954977290329078,0.26414347794425574,0.26414347794425574,0.264143385236464,0.2454275399957574,0.2657608808531929
0,9.143,0,0.278754734547482,0.27483598732668557,0.27483598732668557,0.27483515130707903,0.25510639020879616,0.2832986061193912
0,2.186,4,0.24507589981918718,0.246145809949585,0.246145809949585,0.24614594093592254,0.2312608673089393,0.22814761949933549
0,2.186,3,0.24598723843937795,0.23029306259537682,0.23029306259537682,0.2302930664518963,0.22008194939031184,0.2317061007805609
0,2.186,2,0.2457584680387629,0.2371021606836318,0.2371021606836318,0.23710211611764004,0.2242978559840288,0.22778367106963718
0,2.186,1,0.23803500553636114,0.22244057003162887,0.22244057003162887,0.22244074872865313,0.21259334540301617,0.22387691839959326
0,2.186,0,0.2405203127855297,0.22257581696139625,0.22257581696139625,0.2225757866682449,0.21500563724622135,0.22638863782131727
0,0.0,4,0.22253754183098898,0.2043687782170957,0.2043687782170957,0.2043689546635253,0.20269888109486756,0.2043687782170957
0,0.0,3,0.22253754183098898,0.2043687782170957,0.2043687782170957,0.2043689546635253,0.20269888109486756,0.2043687782170957
0,0.0,2,0.22253754183098898,0.2043687782170957,0.2043687782170957,0.2043689546635253,0.20269888109486756,0.2043687782170957
0,0.0,1,0.22253754183098898,0.2043687782170957,0.2043687782170957,0.2043689546635253,0.20269888109486756,0.2043687782170957
0,0.0,0,0.22253754183098898,0.2043687782170957,0.2043687782170957,0.2043689546635253,0.20269888109486756,0.2043687782170957
