,0.0,2.725,8.505,16.479,51.715,65.229
Persistence,0.223,0.23,0.276,0.336,0.539,0.604
RF,0.228,0.235,0.281,0.328,0.591,0.734
Feature-Driven,0.216,0.224,0.281,0.345,0.599,0.734
Feature-Driven-L1,0.216,0.224,0.281,0.345,0.599,0.734
FDRR-R,0.216,0.221,0.239,0.252,0.331,0.439
FDRR-A,0.216,0.235,0.291,0.359,0.716,0.876
