,0.0,2.186,9.143,15.347,50.248,66.064
Persistence,0.223,0.243,0.273,0.318,0.52,0.617
RF,0.203,0.221,0.247,0.31,0.593,0.75
Feature-Driven,0.204,0.232,0.263,0.337,0.601,0.735
Feature-Driven-L1,0.204,0.232,0.263,0.337,0.601,0.735
FDRR-R,0.204,0.228,0.272,0.292,0.318,0.35
