,percentage missing,lag,iteration,Persistence,FD50,Feature-Driven,Feature-Driven-L1,RF,FDRR-R,FDRR-A
0,2.725,2,2,0.226807334,0.215912102,0.215912102,0.215912102,0.219541709,0.224079492,0.239698433
0,2.725,2,1,0.224540414,0.21321026,0.21321026,0.21321026,0.217800025,0.21647113,0.219733017
0,2.725,2,0,0.235889903,0.22145969,0.22145969,0.22145969,0.225510578,0.220940291,0.243897378
0,0,2,4,0.222537542,0.211485911,0.211485911,0.211485911,0.214264408,0.211485911,0.211485911
0,0,2,3,0.222537542,0.211485911,0.211485911,0.211485911,0.214264408,0.211485911,0.211485911
0,0,2,2,0.222537542,0.211485911,0.211485911,0.211485911,0.214264408,0.211485911,0.211485911
0,0,2,1,0.222537542,0.211485911,0.211485911,0.211485911,0.214264408,0.211485911,0.211485911
0,0,2,0,0.222537542,0.211485911,0.211485911,0.211485911,0.214264408,0.211485911,0.211485911
0,65.229,3,4,0.673736111,0.608890942,0.608890942,0.608706062,0.58214799,0.445799652,1.33776963
0,65.229,3,3,0.595948596,0.557497489,0.557497489,0.557405839,0.544833162,0.450285902,1.33545462
0,65.229,3,2,0.602619186,0.554415035,0.554415035,0.554263517,0.548177037,0.435455136,1.33663099
0,65.229,3,1,0.601970657,0.555948223,0.555948223,0.555847393,0.547924077,0.436095415,1.331098639
0,65.229,3,0,0.608656505,0.563778961,0.563778961,0.563670009,0.558293499,0.448963446,1.32203227
0,51.715,3,4,0.463387049,0.431269305,0.431269305,0.431178296,0.425316541,0.368219399,0.977885837
0,51.715,3,3,0.507115699,0.462988776,0.462988776,0.46288132,0.46014843,0.356732606,0.819233135
0,51.715,3,2,0.466899659,0.429749505,0.429749505,0.429664701,0.427468216,0.344954956,0.903891575
0,51.715,3,1,0.51703017,0.465136137,0.465136137,0.465013942,0.460947513,0.35290265,0.86292759
0,51.715,3,0,0.470500852,0.440586942,0.440586942,0.440525268,0.458312281,0.368209416,0.870202005
0,16.479,3,4,0.277733257,0.261213555,0.261213555,0.261196759,0.267854821,0.265895137,0.371575161
0,16.479,3,3,0.299597889,0.274863037,0.274863037,0.274802517,0.277971318,0.270618787,0.380838618
0,16.479,3,2,0.375496335,0.341027478,0.341027478,0.340963015,0.321265789,0.28447722,0.407509358
0,16.479,3,1,0.295652393,0.277806723,0.277806723,0.277767255,0.275314445,0.275554122,0.337251998
0,16.479,3,0,0.317098243,0.292247087,0.292247087,0.29222304,0.290304774,0.273017231,0.378161765
0,8.505,3,4,0.29720491,0.27615424,0.27615424,0.276110456,0.27709731,0.258185166,0.290268742
0,8.505,3,3,0.264308314,0.245222119,0.245222119,0.245196199,0.250355083,0.253714197,0.356531497
0,8.505,3,2,0.250899014,0.236342796,0.236342796,0.236336684,0.239106007,0.261505663,0.313297543
0,8.505,3,1,0.28411637,0.267002334,0.267002334,0.266972232,0.262987999,0.25859833,0.286507284
0,8.505,3,0,0.288119179,0.263480788,0.263480788,0.263444789,0.260127863,0.254675735,0.309194973
0,2.725,3,4,0.233080868,0.220162398,0.220162398,0.220159088,0.222746879,0.219066795,0.232588483
0,2.725,3,3,0.225048515,0.213089187,0.213089187,0.213082671,0.213790841,0.215602031,0.219147477
0,2.725,3,2,0.232835262,0.219954212,0.219954212,0.219946645,0.219748092,0.224344392,0.242116436
0,2.725,3,1,0.232268693,0.218208607,0.218208607,0.218197889,0.216342669,0.216818826,0.221687488
0,2.725,3,0,0.232124753,0.21835542,0.21835542,0.218347819,0.218920434,0.216202063,0.22355471
0,0,3,4,0.222537542,0.210489862,0.210489862,0.210485595,0.210539744,0.210489862,0.210489862
0,0,3,3,0.222537542,0.210489862,0.210489862,0.210485595,0.210539744,0.210489862,0.210489862
0,0,3,2,0.222537542,0.210489862,0.210489862,0.210485595,0.210539744,0.210489862,0.210489862
0,0,3,1,0.222537542,0.210489862,0.210489862,0.210485595,0.210539744,0.210489862,0.210489862
0,0,3,0,0.222537542,0.210489862,0.210489862,0.210485595,0.210539744,0.210489862,0.210489862
