,0.0,2.13,9.208,15.205,49.548,66.708
Persistence,0.223,0.232,0.285,0.322,0.524,0.647
RF,0.228,0.237,0.28,0.314,0.497,0.599
Feature-Driven,0.216,0.224,0.272,0.304,0.491,0.607
Feature-Driven-L1,0.216,0.224,0.272,0.304,0.491,0.607
FDRR-R,0.216,0.22,0.238,0.25,0.342,0.455
FDRR-A,0.216,0.232,0.295,0.368,0.714,0.884
