,0.0,2.014,8.718,16.998,49.806,66.859
Persistence,0.223,0.238,0.272,0.327,0.523,0.582
RF,0.213,0.222,0.271,0.324,0.595,0.71
Feature-Driven,0.211,0.222,0.277,0.334,0.6,0.715
Feature-Driven-L1,0.211,0.222,0.277,0.334,0.6,0.715
FDRR-R,0.211,0.22,0.244,0.262,0.345,0.428
FDRR-A,0.211,0.227,0.299,0.375,0.847,1.094
