,0.0,2.298,9.918,16.663,50.041,67.673
Persistence,0.223,0.231,0.277,0.313,0.485,0.617
RF,0.211,0.218,0.258,0.287,0.446,0.556
Feature-Driven,0.21,0.218,0.258,0.289,0.446,0.568
Feature-Driven-L1,0.21,0.218,0.258,0.289,0.446,0.568
FDRR-R,0.21,0.218,0.257,0.274,0.358,0.443
FDRR-A,0.21,0.228,0.311,0.375,0.887,1.333
