,0.0,2.165,8.992,16.968,51.028,66.581
Persistence,0.223,0.23,0.268,0.311,0.551,0.599
RF,0.203,0.208,0.231,0.263,0.454,0.511
Feature-Driven,0.204,0.21,0.241,0.275,0.483,0.531
Feature-Driven-L1,0.204,0.21,0.241,0.275,0.483,0.531
FDRR-R,0.204,0.226,0.268,0.291,0.326,0.353
