,Mean Trading Cost,Standard Deviation
Persistence,0.22253754183098898,1.069330287946865
FD50,0.2042522022423831,0.2042522022423831
FD-Base Feat,0.2051759158821033,0.9540170674872553
FD-Time Feat,0.20937332262138525,0.9626807697077694
FD-Pen Feat,0.20436889877532646,0.952218131433869
FD-Mark Feat,0.4325276142113852,1.976276359314296
RF,0.20175541117660087,0.9362798721490848
RF Mark Feat,0.20489977733125378,0.9694181350368177
