percentage,feat_del,iteration,SAA,Feature Driven,Feature Driven-L1,BASE-retrain,FDRR_affine0,FDRR_affine1,FDRR_affine2,FDRR_affine3,FDRR_affine4,FDRR_affine5,FDRR_affine6,FDRR_reform0,FDRR_reform1,FDRR_reform2,FDRR_reform3,FDRR_reform4,FDRR_reform5,FDRR_reform6
1.0,6,9,2.3283578123411033,3.698582079309511,4.815676387577547,2.356257318006451,2.821434610153905,2.80923363295448,2.816421019555688,2.8179663596140414,2.8124010947993274,2.8166124362207707,2.347736034702098,2.821434610153905,2.9630010124889727,3.179737045290138,3.43158697860674,3.6740282301279317,3.6929333805757705,2.3477360347020984
0.5,6,9,2.3283578123411033,2.1237577630200075,2.93937496076234,1.4877607040571323,1.7091814066138886,1.795334975795262,1.8980424618012637,1.9857383907989579,2.0558881837456933,2.1264306204721994,2.347736034702098,1.7091814066138886,1.774844067678395,1.999915914864826,2.45547181243557,3.1494842692094447,3.7307454489010476,2.3477360347020984
0.25,6,9,2.3283578123411033,1.4731059011653178,1.8566263368807452,1.1227047957942042,1.2541968295319206,1.3634922437530066,1.4990170263412723,1.6223111780992892,1.7228795776691535,1.8196126106053059,2.347736034702098,1.2541968295319206,1.3037128856785691,1.5900960863751388,2.2413142935990753,3.2252133559760714,4.013672555996314,2.3477360347020984
0.1,6,9,2.3283578123411033,1.0036668424378128,1.251417228184455,0.8839561276624945,0.9219213674654763,1.0516310731561118,1.2176352306715352,1.3683292268372846,1.49325819010047,1.6106263771807525,2.347736034702098,0.9219213674654763,0.9526777542136674,1.2510415135072919,1.984364857764334,3.145848434818297,4.060343386776764,2.3477360347020984
0.05,6,9,2.3283578123411033,0.9001817888074888,1.0327241046757971,0.8356784047059416,0.857017100452832,0.9851304905533028,1.1547245951709348,1.311228155118712,1.4407889395087294,1.5621490380170329,2.347736034702098,0.857017100452832,0.8874946713436979,1.188267069402731,1.957984095533295,3.1761980498749405,4.141700594065869,2.3477360347020984
0.0,6,9,2.3283578123411033,0.7305015497099905,0.8658490747692003,0.7317284066772645,0.7305015497099905,0.8737785158269559,1.0552482749449938,1.2220211868274615,1.3600815037806189,1.4886798761288749,2.347736034702098,0.7305015497099905,0.7533886064869117,1.0596997270930615,1.8510996825326285,3.109381314240113,4.119270593173164,2.3477360347020984
1.0,5,9,2.3283578123411033,3.698582079309511,4.815676387577547,0.7770417001452293,2.2871669723329138,2.4512557400883135,2.4989712171028304,2.534197205578158,2.556852306607801,2.5864452122172024,2.347736034702098,2.2871669723329138,2.441341185776095,2.4800662434925314,2.4222126522247183,2.0739921952409954,0.8550192511213088,2.3477360347020984
0.5,5,9,2.3283578123411033,2.126756040618215,2.9189342609476703,0.762065363151233,1.4655419531599012,1.6040200300673666,1.7248492358737535,1.83126121889026,1.9157664422029363,1.9991860801330166,2.347736034702098,1.4655419531599012,1.5244341724110786,1.6685102501688156,2.026966341192667,2.4701080457831184,2.378363443643148,2.3477360347020984
0.25,5,9,2.3283578123411033,1.3789329688644847,1.8063063119554847,0.7387072222207164,1.1198274275078886,1.2141683030780719,1.3688518855520537,1.5073793017932156,1.6186182552326818,1.7246606137498124,2.347736034702098,1.1198274275078886,1.100046892990494,1.3591957560241281,1.9598503548197028,2.8468783708028043,3.34811717658678,2.3477360347020984
0.1,5,9,2.3283578123411033,1.013559995127207,1.2409238782618872,0.7331437876822787,0.9101984605552186,1.033809284235239,1.2022736597270633,1.3559469565618028,1.4822755986183125,1.6000906701197724,2.347736034702098,0.9101984605552186,0.9199494525263472,1.2041164131967317,1.9212299224003595,3.043376913661065,3.8397631181118905,2.3477360347020984
