percentage,feat_del,iteration,EV,SAA,Feature Driven,Feature Driven-L1,RF,FDRR_reform0,FDRR_reform1,FDRR_reform2,FDRR_reform3,FDRR_reform4,FDRR_reform5,FDRR_reform6,FDRR_reform7,FDRR_reform8,FDRR_reform9,FDRR_reform10,FDRR_reform11,FDRR_reform12,FDRR_reform13
1.0,13,9,3.698582079309511,2.333018659301486,3.698582079309511,4.815676387577547,3.7993617306713126,2.7474481747165154,2.892404177938873,2.9772848902072737,3.045969633469912,3.1196944851754815,3.20727673699539,3.3258818445727276,3.503792970826076,3.520375693488664,3.6970724394441983,3.698582079309511,3.698582079309511,3.698582079309511,2.333018659301486
0.5,13,9,2.2820605442706605,2.333018659301486,2.283584165521799,2.52432097626635,2.076558704211806,1.7776793654820222,1.8531716887778897,1.9209002808544378,2.013806547477051,2.154107120254962,2.353598530266417,2.6264478221103245,3.0284053639954283,3.330015962476767,3.8116917987968275,4.115668384321243,4.2983024789999,4.466314717342645,2.333018659301486
0.25,13,9,1.4523506028157542,2.333018659301486,1.4543004495137788,1.9812330146900794,1.6594541573188342,1.2259919785432662,1.2609421711969735,1.2967126525533814,1.3660697504371662,1.4911321474507104,1.6869452618657235,1.9692858439154233,2.365246415118143,2.7000555415188576,3.212982647322222,3.6335026430484825,3.913007554983655,4.164281706581749,2.333018659301486
0.1,13,9,1.013982873173562,2.333018659301486,1.0162784321656322,1.27679937031336,1.1047111434190053,0.9201646324162845,0.9270185403237844,0.9528002221067412,1.0225453039542076,1.1514839361776643,1.373222149889634,1.6966272943275191,2.1734879229923836,2.6085390830483295,3.2366664204045144,3.7795896629069787,4.112213581843944,4.39994463342007,2.333018659301486
0.05,13,9,0.90688525050267,2.333018659301486,0.9090404651651602,0.9267754322499042,0.8555347776536297,0.8473963575034502,0.854042199471351,0.8860609208980386,0.969251366167084,1.1206884476968524,1.3694550875906397,1.7265395894618105,2.23960248769638,2.717087111499234,3.3958567309237764,3.954963030044359,4.302545032231662,4.623860781993731,2.333018659301486
0.0,13,9,0.7169410733089869,2.333018659301486,0.7196597546084941,0.8091841478601567,0.7664235801397,0.7196597546084941,0.7154520074078154,0.7393209909631892,0.8164314727002564,0.963422748006126,1.2102977230215248,1.5694714656277928,2.088099106165355,2.579890805764933,3.267650468036546,3.8520726939383643,4.220139003241359,4.547357924163504,2.333018659301486
1.0,12,9,3.698582079309511,2.333018659301486,3.698582079309511,4.815676387577547,3.534586474387527,2.6905364142256167,2.6756027318095157,2.734929099327716,2.774823224564734,2.8127194835380736,2.8530385691389735,2.905594004081235,2.985675945821947,2.900361435734097,2.878325522248603,2.7120755148418185,2.187570886678859,0.904644952122322,2.333018659301486
0.5,12,9,2.2162240017244055,2.333018659301486,2.2169471484918817,2.7952375783565357,2.1520931650280026,1.7436279448379506,1.7248042039661948,1.782667506180032,1.849282209996493,1.9451933772605043,2.0910182076066985,2.29872184400753,2.5965446609571767,2.800101126739171,3.118904415981758,3.3311438978663954,3.249465323330041,2.7659561966401536,2.333018659301486
0.25,12,9,1.4290598972576765,2.333018659301486,1.4309757292024914,1.7835938655598667,1.4488190871078546,1.1333146247647716,1.1649096643756875,1.1961870940004693,1.259637594516933,1.3795402239062278,1.580446158938252,1.8664000870338364,2.2834226094000534,2.645070901849634,3.1743499466268568,3.570319245690986,3.71189811395957,3.655716117889913,2.333018659301486
0.1,12,9,1.007800724093623,2.333018659301486,1.0100779940581732,1.1293252308495856,0.9769992064537766,0.9026288639707977,0.9033294611055372,0.934336570953636,1.008937149357503,1.1449794627829488,1.3717191911244033,1.7020850251885056,2.1839807987214677,2.626445607053999,3.2696541056670254,3.8033687198758233,4.097700161512228,4.267384435435617,2.333018659301486
0.05,12,9,0.8639503341854704,2.333018659301486,0.8666590832095555,1.061495860056199,0.9513929843370986,0.8267018335043,0.8163748732684939,0.8403401263314854,0.915257292627048,1.053947147654765,1.2861924355055725,1.6242693990322692,2.113201068306259,2.567141572486625,3.200746001635826,3.750623123500809,4.069134854364264,4.3176637799450015,2.333018659301486
0.0,12,9,0.7169410733089869,2.333018659301486,0.7196597546084941,0.8091841478601567,0.7664235801397,0.7196597546084941,0.7154520074078154,0.7393209909631892,0.8164314727002564,0.963422748006126,1.2102977230215248,1.5694714656277928,2.088099106165355,2.579890805764933,3.267650468036546,3.8520726939383643,4.220139003241359,4.547357924163504,2.333018659301486
1.0,11,9,3.698582079309511,2.333018659301486,3.698582079309511,4.815676387577547,3.208302266879522,2.647512280427533,2.469355952311273,2.5044063471342146,2.515836535883182,2.5184034214996203,2.5127816975835384,2.501651843265861,2.4862315581454415,2.305401154150772,2.100235475087016,1.6593086027671964,0.8776172009431592,1.9203067512499943,2.333018659301486
0.5,11,9,2.144851780860858,2.333018659301486,2.146530502916817,2.867523189468916,2.019896586945045,1.7584594361442634,1.56995220507313,1.5963880335327103,1.6405154830111208,1.7199515872313829,1.846209136226633,2.022923820155911,2.272836054940004,2.4329465268591166,2.669154569910759,2.6974418335996666,2.4928375372109044,3.129654372537329,2.333018659301486
0.25,11,9,1.469807643680567,2.333018659301486,1.4721642370921615,1.621556787852172,1.2521524263245736,1.240054808628027,1.157450507078597,1.1846861626403675,1.2482499010545445,1.3609315553037042,1.5479994228277127,1.8243404506505863,2.224857467971443,2.5688817580108596,3.08058782604371,3.447897715368041,3.5324400452636042,4.021481222795322,2.333018659301486
0.1,11,9,1.0218834510134962,2.333018659301486,1.024279585372638,1.1917370078556848,0.9927112725459164,0.903486412467712,0.8932916607325242,0.9181164367719329,0.9863753341011686,1.1182066431040345,1.339253916063985,1.660391832327032,2.1295048288203664,2.557015929548627,3.154373517332257,3.6391435460955073,3.8924607948011456,4.3056494249461466,2.333018659301486
0.05,11,9,0.877558343591929,2.333018659301486,0.8802794532203291,0.9783424886466242,0.8777550723932029,0.8089592230846075,0.8120202699506688,0.8372234044094673,0.9112957609648746,1.0528744108496126,1.2906236394424206,1.6360742599079174,2.133344297897599,2.598120330385622,3.2536500804873563,3.7885604372291066,4.086433081763601,4.422536959637191,2.333018659301486
0.0,11,9,0.7169410733089869,2.333018659301486,0.7196597546084941,0.8091841478601567,0.7664235801397,0.7196597546084941,0.7154520074078154,0.7393209909631892,0.8164314727002564,0.963422748006126,1.2102977230215248,1.5694714656277928,2.088099106165355,2.579890805764933,3.267650468036546,3.8520726939383643,4.220139003241359,4.547357924163504,2.333018659301486
1.0,10,9,3.698582079309511,2.333018659301486,3.698582079309511,4.804983076334329,2.786745681128992,2.6661926524547757,2.2551191571179015,2.2654720993489965,2.2485584951448594,2.216549915949327,2.1656968437728312,2.093486373507335,1.9901867473930026,1.7322278615166795,1.3874883679237757,0.8712802020630435,1.1400714975743405,3.0703650636858404,2.333018659301486
0.5,10,9,2.156412975013108,2.333018659301486,2.158090040688624,2.684518311441734,1.7115364447784613,1.653191002124548,1.459836048900911,1.484959091994289,1.5246142514786019,1.5916133603759475,1.7023762793588644,1.8657469713756294,2.0985589554413107,2.2342806485278413,2.427727004776202,2.4927813558021144,2.8016262112741694,3.8312465708789545,2.333018659301486
0.25,10,9,1.486651847408941,2.333018659301486,1.488520415947601,1.8578971877154615,1.2896482954631074,1.1843416320729252,1.1156565242033467,1.135646638381072,1.1881061716914865,1.2887867364509875,1.4514261460949496,1.6880424251905997,2.0268225163409146,2.3115351736183074,2.737560468708969,3.0489132754843946,3.411405784331287,4.178068059032031,2.333018659301486
0.1,10,9,1.0570562650735056,2.333018659301486,1.0591044339964295,1.1975865979352,0.944117952761505,0.9208787022423045,0.8974355304859715,0.9221209518415199,0.9888814371560346,1.1136252342369577,1.3238754790345306,1.629858000402173,2.077450575487011,2.483338490782671,3.046134668703881,3.519967823326507,3.8980706199090847,4.4475203372567815,2.333018659301486
0.05,10,9,0.8673081432300823,2.333018659301486,0.8698849600270209,1.020082426766022,0.8918394728907573,0.8345802289092777,0.7989438201229467,0.8237846107832629,0.8982640430454109,1.0384026406896385,1.2721883889307362,1.6090523972038193,2.0969577048007375,2.554562229840275,3.1903041992957926,3.7090665064971886,4.052583695750163,4.447464617250158,2.333018659301486
0.0,10,9,0.7169410733089869,2.333018659301486,0.7196597546084941,0.8091841478601567,0.7664235801397,0.7196597546084941,0.7154520074078154,0.7393209909631892,0.8164314727002564,0.963422748006126,1.2102977230215248,1.5694714656277928,2.088099106165355,2.579890805764933,3.267650468036546,3.8520726939383643,4.220139003241359,4.547357924163504,2.333018659301486
1.0,9,9,3.7027422771652727,2.333018659301486,3.700997720018708,4.823970983175471,2.4508292994332685,2.533101345924107,2.054114446806548,2.040705759763473,1.9976333793182621,1.9347704525378433,1.8456877276035102,1.7201089983598008,1.540527369886673,1.2257469575428013,0.8662780762578427,0.9168950611800099,2.0193874514797585,3.6534058565288046,2.333018659301486
0.5,9,9,2.1913406873754644,2.333018659301486,2.231226154918941,2.7059719075694675,1.5702329158084436,1.6937130654433772,1.405967045629429,1.4168979224015668,1.4423102494425157,1.4973858412264605,1.5877464628774844,1.7169257893207992,1.8970300577676604,1.9919233967434593,2.161000970862913,2.439290689817258,3.0935456624802007,4.068016222866519,2.333018659301486
0.25,9,9,1.4674251744644318,2.333018659301486,1.4696341250058929,1.8699940643480273,1.1953704565512895,1.1679052208881517,1.0612315891377802,1.0733801618860062,1.1176310929205382,1.2053856450462461,1.3660838759610698,1.600432911518436,1.933139652985137,2.2053125070579562,2.6130202658745265,3.075779722423887,3.634216622752679,4.313106154319445,2.333018659301486
