,0,1
FD,0.3345227646316092,0.25851390204296165
FD-Feature Engineered,0.2736490585360967,0.24265750960487437
RF,0.2830934226895421,0.2641035987571083
FD-l1,0.2723928623669272,0.24140609372467628
